"title","artists","date","duration","genre","award","nation"
"Airplanes","B.o.B","13 aprile 2010","3:01","Alternative hip hop,,Rap rock","6_platino","usa"
"Bad Blood","Taylor Swift","17 maggio 2015","3:31","Elettropop","6_platino","usa"
"Fuck You!","Cee Lo Green","19 agosto 2010","3:44","Neo soul,,Contemporary R&B","6_platino","usa"
"Fight Song","Rachel Platten","19 febbraio 2015","3:22","Pop,,Power pop","6_platino","usa"
"6 Foot 7 Foot","Lil Wayne","16 dicembre 2010","4:09","Southern hip hop","6_platino","usa"
"Disturbia","Rihanna","17 giugno 2008","3:58","Dance pop,,Elettropop","6_platino","usa"
"Before He Cheats","Carrie Underwood","2006","3:19","Country rock","6_platino","usa"
"Bum bum tam tam","MC Fioti","8 marzo 2017","2:50","Funk carioca","6_platino","usa"
"679","Fetty Wap","giugno 2015","3:11","Trap","6_platino","usa"
"Diamonds","Rihanna","27 settembre 2012","3:45","Musica elettronica,,Pop,,Soul","6_platino","usa"
"Fuck Love","XXXTentacion","23 gennaio 2018","2:26","Trap,,Alternative R&B,,Emo rap,,Cloud rap","6_platino","usa"
"1-800-273-8255","Logic","28 aprile 2017","4:10","Hip hop","6_platino","usa"
"Black and Yellow","Wiz Khalifa","14 settembre 2010","3:37","Elettrorap","6_platino","usa"
"Down","Jay Sean","31 maggio 2009","3:32","Dance pop,,Elettropop,,Contemporary R&B","6_platino","usa"
"El anillo","Jennifer Lopez","26 aprile 2018","2:56","Pop latino,,Funk carioca,,Latin house","6_platino","usa"
"Bad Guy","Billie Eilish","29 marzo 2019","3:14","","6_platino","usa"
"I Don't Fuck with You","Big Sean","19 settembre 2014","4:45","Trap","6_platino","usa"
"Blurred Lines","Robin Thicke","26 marzo 2013","4:22","Pop rap,,Contemporary R&B","6_platino","usa"
"Africa","Toto","1982","4:58","","6_platino","usa"
"Gin and Juice","Snoop Dogg","15 gennaio 1994","3:31","G-funk,,Gangsta rap,,West Coast hip hop","6_platino","usa"
"I Will Always Love You","Dolly Parton","4 aprile 1974","2:55","Country","6_platino","usa"
"Downtown","Anitta,J Balvin","19 novembre 2017","3:13","Pop latino,,Reggaeton","6_platino","usa"
"Born This Way","Lady Gaga","11 febbraio 2011","4:20","Synth pop,,Elettropop,,Dance pop","6_platino","usa"
"Give Me Everything","Pitbull","22 marzo 2011","4:16","Hip house,,Electro house,,Dance pop","6_platino","usa"
"I Kissed a Girl","Katy Perry","29 aprile 2008","3:01","","6_platino","usa"
