"title","artists","date","duration","genre","award","nation"
"Billie Jean","Michael Jackson","2 gennaio 1983","4:54","Funk,,Pop,,Rhythm and blues","2_platino","dk"
"Ai se eu te pego!","Michel Teló","25 luglio 2011","2:46","Musica latina,,Pop,,Pop latino,,Musica leggera,,Música sertaneja","2_platino","dk"
"1-800-273-8255","Logic","28 aprile 2017","4:10","Hip hop","2_platino","dk"
"Friends","Marshmello,Anne-Marie","9 febbraio 2018","3:22","Electronic dance music,,Pop","2_platino","dk"
"The A Team","Ed Sheeran","1º maggio 2011  (vedi date di pubblicazione)","4:18","Pop","2_platino","dk"
"Don't Worry","Madcon","20 febbraio 2015","3:34","Pop,,Pop rap","2_platino","dk"
"Can't Feel My Face","The Weeknd","8 giugno 2015","3:35","Pop,,Funk,,Disco","2_platino","dk"
"Cheerleader (Felix Jaehn Remix)","Omi","19 maggio 2014","3:01","Deep house","2_platino","dk"
"Driving Home for Christmas","Chris Rea","1986","4:33","Musica natalizia,,Pop,,Pop rock,,Soul bianco,,Ballata","2_platino","dk"
"Call on Me","Starley","29 luglio 2016","2:41","Dance pop","2_platino","dk"
"Better Now","Post Malone","5 giugno 2018","3:50","Pop","2_platino","dk"
"Blurred Lines","Robin Thicke","26 marzo 2013","4:22","Pop rap,,Contemporary R&B","2_platino","dk"
"Castle on the Hill","Ed Sheeran","6 gennaio 2017","4:21","Folk pop,,Rock","2_platino","dk"
"17","XXXTentacion","25 agosto 2017","21:54","Emo rap,,Rock alternativo,,Hip hop,,Lo-fi,,Grunge","2_platino","dk"
"Don't Call Me Up","Mabel","18 gennaio 2019","2:58","Tropical house,,Pop","2_platino","dk"
"Dark Horse","Katy Perry","17 dicembre 2013","3:35","Trap,,Grime","2_platino","dk"
"4 Minutes","Madonna,Justin Timberlake","17 marzo 2008","4:04,(Album Version),,3:10,(Radio Edit)","Contemporary R&B","2_platino","dk"
"Good Time","Owl City","26 giugno 2012","3:25","Dance pop,,Synth pop","2_platino","dk"
"Be Alright","Dean Lewis","29 giugno 2018","3:16","Pop","2_platino","dk"
"Dani California","Red Hot Chili Peppers","3 aprile 2006","4:42","Rock alternativo,,Funk rock,,Pop rock","2_platino","dk"
"Bleeding Love","Leona Lewis","19 ottobre 2007","4:24,(album version),,4:01,(radio edit)","Pop soul,,Contemporary R&B","2_platino","dk"
"Bad Guy","Billie Eilish","29 marzo 2019","3:14","","2_platino","dk"
"Eastside","Benny Blanco,Halsey,Khalid","12 luglio 2018","2:53","Pop","2_platino","dk"
"Hangover","Taio Cruz","4 ottobre 2011","4:04","Hip house,,Rock elettronico","2_platino","dk"
"Habibi Aiwa","Gilli","12 maggio 2017","3:18","Trap","2_platino","dk"
"How Deep Is Your Love","Calvin Harris,Disciples","17 luglio 2015","3:32","Deep house","2_platino","dk"
"i hate u, i love u","gnash","17 febbraio 2016","4:11","Pop","2_platino","dk"
"Helwa","Gilli","28 novembre 2016","3:30","Trap","2_platino","dk"
"La La La","Naughty Boy","18 maggio 2013","3:43 (single version),,4:05 (video edit)","UK garage,,Pop","2_platino","dk"
"I Could Be the One","Avicii,Nicky Romero,,(accreditati come Avicii vs Nicky Romero)","26 dicembre 2012","3:28","Progressive house","2_platino","dk"
