"title","artists","date","duration","genre","award","nation"
"Am I Wrong","Nico & Vinz","12 aprile 2013","4:07 (extended version) – 3:39 (radio edit)","Pop,,Afrobeat","2_platino","it"
"2%","Gué Pequeno","25 gennaio 2019","3:31","Pop","2_platino","it"
"L'amour toujours (I'll Fly with You)","Gigi D'Agostino","1999","6:53","Eurodance,,Italodance,,Italo house,,Techno","2_platino","it"
"2U","David Guetta","9 giugno 2017","3:15","Electronic dance music","2_platino","it"
"L'amore","Sonohra","26 febbraio 2008","3:49 .","Pop rock","2_platino","it"
"21 grammi","Fedez","2 ottobre 2015","3:41","Pop,,Pop rap","2_platino","it"
"Ain't Your Mama","Jennifer Lopez","7 aprile 2016","3:38","Pop","2_platino","it"
"A modo tuo","Elisa","7 novembre 2014","5:20","Soft rock","2_platino","it"
"American Boy","Estelle","17 marzo 2008    22 marzo 2008   8 aprile 2008   18 aprile 2008 ","4:44,(album version),–4:01,(radio edit)","Hip hop,,Disco","2_platino","it"
"1984","Salmo","18 dicembre 2015","4:11","","2_platino","it"
"Allenamento #3","Capo Plaza","14 giugno 2017","2:50","Trap","2_platino","it"
"Albachiara / Fegato, fegato spappolato","Vasco Rossi","25 maggio  1979","7:18","Rock","2_platino","it"
"L'amore esiste","Francesca Michielin","6 marzo 2015","3:37","Elettropop","2_platino","it"
"All About That Bass","Meghan Trainor","2 giugno 2014","3:10","Bubblegum pop,,Doo-wop","2_platino","it"
"Alex Baroni","Alex Baroni","1997","43:47","Pop rock,,Pop","2_platino","it"
"L'anima vola","Elisa","15 ottobre 2013","49:16","Pop rock","2_platino","it"
"All Good Things (Come to an End)","Nelly Furtado","24 novembre 2006","5:11,(album version),,5:12,(versione Zero Assoluto),,3:47,(Uk Radio Mix)","Pop latino,,Folk,,Contemporary R&B","2_platino","it"
"All Night","Parov Stelar","20 aprile 2012","2:46","Electro swing,,Breakbeat","2_platino","it"
"L'amore si odia","Noemi","10 settembre 2009","3:12","Pop soul,,Pop rock","2_platino","it"
"Another Love","Tom Odell","15 ottobre 2012","4:06","Indie pop,,Rock,,Dance rock,,Musica etnica","2_platino","it"
"Arrogante","Irama","24 maggio 2019","3:16","Reggaeton","2_platino","it"
"Arriverà","Modà","16 febbraio 2011","3:33","Pop rock,,Pop","2_platino","it"
"Alejandro","Lady Gaga","20 aprile 2010","4:34","Elettropop","2_platino","it"
"Beautiful Disaster","Fedez,Mika","4 dicembre 2015","3:46","Pop rap","2_platino","it"
"Another One Bites the Dust","Queen","22 agosto 1980","3:34","Funk rock","2_platino","it"
"Be the One","Dua Lipa","30 ottobre 2015","3:22","Synth pop","2_platino","it"
"Attenta","Negramaro","7 agosto 2015","4:40","Pop rock,,Ballata","2_platino","it"
